,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
223,Bamba Dieng,4,0,100,1,0,4,1,1,0,0,0,9.0,16.0,56.3,2.0,1,2.0,0,0.0,33.0,0.0,2.0,0.0,5,3,0,1,0.0,0.0,0,2.0,8.0,FW,22,France,Marseille,Senegal
224,Pape Matar Sarr,2,0,59,0,0,4,0,0,0,0,0,36.0,43.0,83.7,3.0,2,1.0,0,2.0,54.0,0.0,2.0,0.0,0,1,0,5,0.0,0.0,0,1.0,0.0,MF,19,England,Tottenham,Senegal
225,Nicolas Jackson,1,0,17,0,0,0,0,0,0,0,0,9.0,10.0,90.0,0.0,0,0.0,0,0.0,11.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,2.0,FW,20,Spain,Villarreal,Senegal
226,Foda BalloToura,1,0,7,0,0,0,0,0,0,0,0,5.0,8.0,62.5,0.0,0,1.0,0,0.0,10.0,0.0,1.0,0.0,0,0,0,2,0.0,0.0,0,1.0,0.0,DF,25,Italy,Milan,Senegal
227,Aziz Behich,4,4,360,0,0,2,0,0,0,1,0,152.0,203.0,74.9,8.0,3,6.0,3,12.0,251.0,8.0,14.0,57.1,3,3,0,5,0.0,0.0,0,2.0,2.0,DF,31,Scotland,Dundee United,Australia
228,Aaron Mooy,4,4,360,0,0,1,0,0,0,1,0,170.0,217.0,78.3,9.0,6,6.0,3,9.0,256.0,2.0,3.0,66.7,4,1,0,10,0.0,0.0,0,2.0,3.0,MF,31,Scotland,Celtic,Australia
229,Kye Rowles,4,4,360,0,0,0,0,0,0,0,0,165.0,187.0,88.2,8.0,2,9.0,7,16.0,232.0,0.0,0.0,0.0,1,2,0,0,0.0,0.0,0,4.0,2.0,DF,23,Scotland,Hearts,Australia
230,Mathew Ryan,4,4,360,0,0,0,0,0,0,0,0,113.0,164.0,68.9,0.0,0,0.0,0,6.0,176.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,GK,30,Denmark,FC Copenhagen,Australia
231,Harry Souttar,4,4,360,0,0,1,0,0,0,0,0,138.0,167.0,82.6,4.0,0,7.0,6,22.0,212.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0,14.0,7.0,DF,23,England,Stoke City,Australia
232,Jackson Irvine,4,4,354,0,0,3,0,0,0,2,0,103.0,128.0,80.5,4.0,2,7.0,3,8.0,171.0,0.0,2.0,0.0,7,2,0,2,0.0,0.0,0,9.0,7.0,MFFW,29,Germany,St,Australia
233,Mathew Leckie,4,4,333,1,1,1,1,1,0,0,0,67.0,103.0,65.0,4.0,4,5.0,1,6.0,156.0,1.0,11.0,9.1,8,6,0,4,0.0,0.0,0,14.0,10.0,MFFW,31,Australia,Melb City,Australia
234,Mitchell Duke,4,4,270,1,0,7,4,1,0,1,0,36.0,63.0,57.1,0.0,0,5.0,2,1.0,97.0,1.0,2.0,50.0,6,3,1,1,0.0,0.0,0,11.0,12.0,FW,31,Japan,Fagi Okayama,Australia
235,Riley McGree,4,4,265,0,1,3,1,0,0,0,0,57.0,75.0,76.0,2.0,1,5.0,5,3.0,107.0,0.0,1.0,0.0,9,2,0,5,0.0,0.0,0,1.0,2.0,FWMF,23,England,Middlesbrough,Australia
236,Craig Goodwin,4,3,234,1,1,2,1,1,0,0,0,58.0,95.0,61.1,4.0,3,3.0,0,3.0,117.0,0.0,0.0,0.0,1,2,0,18,0.0,0.0,0,1.0,5.0,MF,30,Australia,Adelaide,Australia
237,Miloai Degenek,4,2,183,0,0,0,0,0,0,2,0,67.0,101.0,66.3,6.0,4,2.0,1,9.0,127.0,0.0,2.0,0.0,2,8,0,1,0.0,0.0,0,6.0,1.0,DF,28,USA,Columbus Crew,Australia
238,Keanu Baccus,4,1,114,0,0,1,0,0,0,0,0,26.0,41.0,63.4,1.0,1,5.0,2,1.0,57.0,0.0,1.0,0.0,4,1,0,0,0.0,0.0,0,1.0,3.0,MF,24,Scotland,St Mirren,Australia
239,Fran Karaaia,2,1,93,0,0,3,0,0,0,0,0,33.0,54.0,61.1,2.0,1,2.0,2,3.0,70.0,0.0,0.0,0.0,3,0,0,5,0.0,0.0,0,4.0,4.0,DF,26,Italy,Brescia,Australia
240,Nathaniel Atkinson,1,1,84,0,0,0,0,0,0,0,0,27.0,34.0,79.4,4.0,3,1.0,1,2.0,44.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,23,Scotland,Hearts,Australia
241,Ajdin Hrustic,3,0,62,0,0,1,0,0,0,0,0,17.0,21.0,81.0,2.0,0,0.0,1,1.0,32.0,1.0,4.0,25.0,1,2,0,1,0.0,0.0,0,0.0,2.0,MFFW,25,Italy,Hellas Verona,Australia
242,Jamie Maclaren,3,0,55,0,0,0,0,0,0,0,0,7.0,15.0,46.7,0.0,0,0.0,1,0.0,15.0,0.0,0.0,0.0,1,0,0,2,0.0,0.0,0,1.0,4.0,FW,28,Australia,Melb City,Australia
243,Garang Kuol,2,0,37,0,0,1,1,0,0,0,0,3.0,5.0,60.0,0.0,0,0.0,1,0.0,10.0,0.0,2.0,0.0,1,0,0,0,0.0,0.0,0,1.0,2.0,FWMF,17,Australia,Central Coast,Australia
244,Jason Cummings,1,0,35,0,0,0,0,0,0,0,0,4.0,6.0,66.7,0.0,0,0.0,0,0.0,8.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,FW,26,Australia,Central Coast,Australia
245,Awer Mabil,2,0,24,0,0,0,0,0,0,0,0,10.0,14.0,71.4,0.0,0,1.0,1,0.0,19.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,2.0,MF,26,Spain,Cadiz,Australia
246,Bailey Wright,1,0,17,0,0,0,0,0,0,0,0,1.0,3.0,33.3,0.0,0,0.0,0,2.0,5.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,3.0,DF,29,England,Sunderland,Australia
247,Manuel Akanji,4,4,360,1,0,4,1,1,0,1,0,229.0,259.0,88.4,4.0,2,4.0,3,12.0,290.0,0.0,0.0,0.0,4,1,0,1,0.0,0.0,0,9.0,2.0,DF,26,England,Manchester City,Switzerland
248,Granit Xhaka,4,4,360,0,0,6,3,0,0,1,0,215.0,243.0,88.5,6.0,4,3.0,2,7.0,274.0,1.0,2.0,50.0,5,4,0,0,0.0,0.0,0,7.0,5.0,MF,29,England,Arsenal,Switzerland
249,Ricardo Rodriguez,4,4,359,0,0,0,0,0,0,0,0,164.0,229.0,71.6,7.0,2,1.0,0,8.0,253.0,0.0,0.0,0.0,6,2,0,12,0.0,0.0,0,10.0,2.0,DF,29,Italy,Torino,Switzerland
250,Breel Embolo,4,4,323,2,0,6,3,2,0,0,0,46.0,62.0,74.2,1.0,0,2.0,0,1.0,91.0,2.0,6.0,33.3,3,12,2,0,0.0,0.0,0,2.0,8.0,FW,25,France,Monaco,Switzerland
251,Remo Freuler,4,4,323,1,0,3,1,1,0,0,0,127.0,154.0,82.5,8.0,5,3.0,3,3.0,197.0,0.0,4.0,0.0,6,2,0,0,0.0,0.0,0,1.0,4.0,MF,30,England,Nottingham Forest,Switzerland
252,Ruben Vargas,4,4,285,0,1,3,1,0,0,1,0,80.0,117.0,68.4,0.0,0,2.0,1,4.0,144.0,1.0,7.0,14.3,4,2,1,15,0.0,0.0,0,3.0,6.0,FW,23,Germany,Augsburg,Switzerland
253,Djibril Sow,4,4,264,0,1,2,0,0,0,0,0,84.0,97.0,86.6,2.0,1,0.0,2,0.0,115.0,0.0,2.0,0.0,2,7,0,1,0.0,0.0,0,1.0,2.0,MF,25,Germany,Eint Frankfurt,Switzerland
254,Yann Sommer,3,3,270,0,0,0,0,0,0,0,0,108.0,118.0,91.5,0.0,0,0.0,0,0.0,126.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,GK,33,Germany,MGladbach,Switzerland
255,Silvan Widmer,3,3,265,0,1,1,0,0,0,1,0,127.0,169.0,75.1,10.0,6,3.0,2,15.0,211.0,1.0,2.0,50.0,4,2,0,2,0.0,0.0,0,3.0,1.0,DF,29,Germany,Mainz 05,Switzerland
256,Xherdan Shaquiri,3,3,229,1,1,4,2,1,0,0,0,67.0,104.0,64.4,0.0,0,0.0,0,0.0,113.0,0.0,3.0,0.0,2,6,0,15,0.0,0.0,0,1.0,4.0,FWMF,30,USA,Chicago Fire,Switzerland
257,Nico Elvedi,2,2,180,0,0,1,0,0,0,1,0,131.0,142.0,92.3,2.0,0,5.0,1,13.0,165.0,0.0,0.0,0.0,3,1,0,0,0.0,0.0,0,2.0,3.0,DF,25,Germany,MGladbach,Switzerland
258,Fabian Schar,2,2,135,0,0,2,0,0,0,2,0,65.0,82.0,79.3,2.0,1,1.0,2,7.0,100.0,0.0,0.0,0.0,1,2,0,0,0.0,0.0,0,4.0,4.0,DF,30,England,Newcastle Utd,Switzerland
259,Edimilson Fernandes,3,1,145,0,0,1,0,0,0,0,0,65.0,82.0,79.3,2.0,1,3.0,2,3.0,96.0,0.0,1.0,0.0,1,1,1,5,0.0,0.0,0,0.0,1.0,FWDF,26,Germany,Mainz 05,Switzerland
260,Gregor Kobel,1,1,90,0,0,0,0,0,0,0,0,21.0,29.0,72.4,0.0,0,0.0,0,0.0,30.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,24,Germany,Dortmund,Switzerland
261,Fabian Rieder,2,1,68,0,0,0,0,0,0,1,0,13.0,26.0,50.0,3.0,2,2.0,0,1.0,34.0,1.0,1.0,100.0,4,2,0,1,0.0,0.0,0,0.0,1.0,FW,20,Switzerland,Young Boys,Switzerland
262,Haris Seferovia,3,0,71,0,0,1,0,0,0,0,0,10.0,14.0,71.4,0.0,0,2.0,0,0.0,19.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1.0,FW,30,Turkey,Galatasaray,Switzerland
263,Denis Zakaria,2,0,59,0,0,1,0,0,0,0,0,20.0,23.0,87.0,0.0,0,1.0,3,1.0,33.0,0.0,2.0,0.0,1,2,0,0,0.0,0.0,0,1.0,2.0,MF,25,England,Chelsea,Switzerland
264,Eray Camert,2,0,46,0,0,0,0,0,0,1,0,38.0,42.0,90.5,0.0,0,1.0,2,2.0,50.0,0.0,1.0,0.0,3,1,0,0,0.0,0.0,0,0.0,0.0,DF,24,Spain,Valencia,Switzerland
265,Noah Okafor,3,0,45,0,0,1,0,0,0,0,0,17.0,22.0,77.3,0.0,0,1.0,0,0.0,29.0,0.0,3.0,0.0,2,1,1,0,0.0,0.0,0,0.0,0.0,FWMF,22,Austria,RB Salzburg,Switzerland
266,Renato Steffen,1,0,32,0,0,0,0,0,0,0,0,13.0,15.0,86.7,0.0,0,1.0,0,0.0,20.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0,0.0,1.0,FW,30,Switzerland,Lugano,Switzerland
267,Fabian Frei,2,0,25,0,0,0,0,0,0,0,0,9.0,14.0,64.3,1.0,1,0.0,1,0.0,16.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1.0,MF,33,Switzerland,Basel,Switzerland
268,Michel Aebischer,1,0,16,0,0,0,0,0,0,0,0,2.0,4.0,50.0,0.0,0,0.0,0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,MFFW,25,Italy,Bologna,Switzerland
269,Christian Fassnacht,1,0,8,0,0,1,1,0,0,0,0,7.0,10.0,70.0,0.0,0,0.0,0,1.0,12.0,2.0,2.0,100.0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,28,Switzerland,Young Boys,Switzerland
270,Ardon Jasari,1,0,2,0,0,0,0,0,0,0,0,5.0,6.0,83.3,0.0,0,0.0,0,0.0,8.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,19,Switzerland,Luzern,Switzerland
271,Rodri,4,4,390,0,0,1,0,0,0,0,0,642.0,689.0,93.2,5.0,2,3.0,3,9.0,711.0,0.0,0.0,0.0,5,1,0,2,0.0,0.0,0,16.0,5.0,DF,25,England,Manchester City,Spain
272,Unai Simaan,4,4,390,0,0,0,0,0,0,0,0,150.0,160.0,93.8,0.0,0,0.0,0,2.0,167.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,GK,25,Spain,Athletic Club,Spain
273,Dani Olmo,4,4,367,1,1,12,6,1,0,0,0,162.0,198.0,81.8,5.0,3,5.0,1,4.0,259.0,4.0,19.0,21.1,5,6,2,10,0.0,0.0,0,0.0,4.0,FW,24,Germany,RB Leipzig,Spain
274,Sergio Busquets,4,4,363,0,0,2,0,0,0,1,0,261.0,289.0,90.3,7.0,4,2.0,1,1.0,310.0,1.0,1.0,100.0,3,3,0,0,0.0,0.0,0,8.0,5.0,MF,33,Spain,Barcelona,Spain
275,Pedri,4,4,356,0,0,0,0,0,0,0,0,393.0,434.0,90.6,4.0,2,5.0,4,3.0,468.0,6.0,11.0,54.5,2,3,0,2,0.0,0.0,0,2.0,0.0,MF,19,Spain,Barcelona,Spain
276,Gabi,4,4,284,1,0,1,1,1,0,0,0,133.0,154.0,86.4,8.0,4,3.0,1,2.0,185.0,3.0,7.0,42.9,9,14,0,4,0.0,0.0,0,2.0,5.0,MF,17,Spain,Barcelona,Spain
277,Aymeric Laporte,3,3,300,0,0,1,0,0,0,1,0,413.0,438.0,94.3,2.0,0,0.0,3,7.0,455.0,0.0,0.0,0.0,3,2,0,0,0.0,0.0,0,5.0,3.0,DF,28,England,Manchester City,Spain
278,Jordi Alba,4,3,264,0,2,2,0,0,0,0,0,328.0,372.0,88.2,6.0,4,2.0,3,2.0,395.0,2.0,3.0,66.7,4,3,1,14,1.0,0.0,0,0.0,2.0,DF,33,Spain,Barcelona,Spain
279,Marco Asensio,4,3,229,1,0,10,2,1,0,0,0,89.0,119.0,74.8,1.0,1,1.0,0,0.0,148.0,0.0,3.0,0.0,3,3,0,8,0.0,0.0,0,0.0,2.0,FW,26,Spain,Real Madrid,Spain
280,Ferrain Torres,4,3,217,2,0,3,1,1,1,0,0,59.0,85.0,69.4,0.0,0,1.0,0,0.0,117.0,1.0,11.0,9.1,1,5,2,9,0.0,0.0,0,0.0,3.0,FW,22,Spain,Barcelona,Spain
281,Casar Azpilicueta,2,2,135,0,1,0,0,0,0,0,0,171.0,181.0,94.5,1.0,0,2.0,1,0.0,186.0,0.0,0.0,0.0,2,0,0,3,0.0,0.0,0,2.0,2.0,DF,32,England,Chelsea,Spain
282,Alvaro Morata,4,1,185,3,1,8,5,3,0,0,0,28.0,41.0,68.3,1.0,1,2.0,0,2.0,60.0,1.0,3.0,33.3,1,2,5,0,0.0,0.0,0,1.0,0.0,FW,29,Spain,Atlatico Madrid,Spain
283,Nico Williams,4,1,146,0,0,1,0,0,0,0,0,50.0,63.0,79.4,4.0,2,2.0,0,0.0,90.0,5.0,16.0,31.3,0,1,1,6,0.0,0.0,0,1.0,2.0,FW,19,Spain,Athletic Club,Spain
284,Dani Carvajal,2,1,135,0,0,0,0,0,0,0,0,121.0,135.0,89.6,1.0,1,0.0,2,1.0,139.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,1.0,DF,30,Spain,Real Madrid,Spain
285,Alejandro Balde,4,1,126,0,0,1,0,0,0,0,0,112.0,123.0,91.1,6.0,6,2.0,0,2.0,135.0,0.0,2.0,0.0,2,1,0,2,0.0,0.0,0,0.0,2.0,DF,18,Spain,Barcelona,Spain
286,Marcos Llorente,1,1,120,0,0,1,0,0,0,0,0,95.0,106.0,89.6,0.0,0,0.0,0,0.0,107.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0,0.0,1.0,DF,27,Spain,Atletico Madrid,Spain
287,Pau Torres,1,1,90,0,0,0,0,0,0,0,0,174.0,191.0,91.1,0.0,0,1.0,0,2.0,194.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1.0,1.0,DF,25,Spain,Villarreal,Spain
288,Carlos Soler,2,0,92,1,0,4,1,1,0,0,0,78.0,83.0,94.0,0.0,0,0.0,0,0.0,88.0,1.0,2.0,50.0,0,1,0,3,0.0,0.0,0,0.0,1.0,MF,25,France,Paris SG,Spain
289,Koke,2,0,52,0,0,0,0,0,0,0,0,56.0,62.0,90.3,1.0,1,0.0,0,0.0,68.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,30,Spain,Atlatico Madrid,Spain
290,Ansu Fati,2,0,46,0,0,0,0,0,0,0,0,25.0,29.0,86.2,1.0,1,0.0,0,0.0,34.0,0.0,2.0,0.0,0,0,0,1,0.0,0.0,0,1.0,0.0,FW,19,Spain,Barcelona,Spain
291,Pablo Sarabia,1,0,3,0,0,1,0,0,0,0,0,2.0,5.0,40.0,0.0,0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0,0.0,0.0,FW,30,France,Paris SG,Spain
292,Tyler Adams,4,4,360,0,0,1,0,0,0,1,0,241.0,271.0,88.9,11.0,9,6.0,4,6.0,308.0,1.0,1.0,100.0,5,5,0,2,0.0,0.0,0,5.0,2.0,MF,23,England,Leeds United,United States
293,Tim Ream,4,4,360,0,0,1,0,0,0,1,0,245.0,276.0,88.8,4.0,3,2.0,4,12.0,306.0,2.0,2.0,100.0,1,2,0,0,0.0,0.0,0,6.0,8.0,DF,34,England,Fulham,United States
294,Matt Turner,4,4,360,0,0,0,0,0,0,0,0,101.0,128.0,78.9,0.0,0,0.0,0,1.0,136.0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0,0.0,0.0,GK,27,England,Arsenal,United States
295,Antonee Robinson,4,4,359,0,0,0,0,0,0,0,0,173.0,241.0,71.8,5.0,4,3.0,7,8.0,290.0,4.0,5.0,80.0,2,0,1,21,0.0,0.0,0,5.0,3.0,DF,24,England,Fulham,United States
296,Yunus Musah,4,4,343,0,0,4,1,0,0,0,0,151.0,182.0,83.0,8.0,6,7.0,2,1.0,222.0,4.0,11.0,36.4,9,3,0,8,0.0,0.0,0,3.0,3.0,MF,19,Spain,Valencia,United States
297,Timothy Weah,4,4,316,1,0,5,3,1,0,0,0,90.0,108.0,83.3,0.0,0,5.0,0,0.0,133.0,2.0,2.0,100.0,1,1,2,8,0.0,0.0,0,2.0,3.0,FW,22,France,Lille,United States
298,Christian Pulisic,4,4,315,1,2,9,5,1,0,0,0,83.0,141.0,58.9,2.0,0,2.0,0,1.0,191.0,4.0,15.0,26.7,2,11,1,31,0.0,0.0,0,2.0,4.0,FWMF,23,England,Chelsea,United States
299,Sergiao Dest,4,4,305,0,1,6,0,0,0,1,0,172.0,200.0,86.0,4.0,2,3.0,2,7.0,253.0,5.0,13.0,38.5,4,2,0,9,0.0,0.0,0,1.0,3.0,DF,21,Italy,Milan,United States
300,Weston McKennie,4,4,271,0,0,5,1,0,0,1,0,117.0,153.0,76.5,2.0,1,4.0,0,5.0,179.0,1.0,2.0,50.0,6,2,0,1,0.0,0.0,0,3.0,3.0,MF,23,Italy,Juventus,United States
301,Walker Zimmerman,4,3,279,0,0,1,0,0,0,0,0,217.0,244.0,88.9,3.0,2,4.0,4,15.0,275.0,0.0,0.0,0.0,3,0,0,0,0.0,1.0,0,8.0,5.0,DF,29,USA,Nashville,United States
302,Josh Sargent,3,2,157,0,0,4,1,0,0,0,0,29.0,33.0,87.9,0.0,0,1.0,1,0.0,48.0,2.0,2.0,100.0,2,0,0,1,0.0,0.0,0,3.0,6.0,FW,22,England,Norwich City,United States
303,Haji Wright,4,1,137,1,0,6,2,1,0,0,0,20.0,27.0,74.1,2.0,0,0.0,0,1.0,45.0,0.0,1.0,0.0,1,3,1,1,0.0,0.0,0,6.0,7.0,FW,24,Turkey,Antalyaspor,United States
304,Cameron Cartervickers,1,1,90,0,0,0,0,0,0,0,0,50.0,58.0,86.2,0.0,0,1.0,0,4.0,64.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,4.0,4.0,DF,24,Scotland,Celtic,United States
305,Jesus Ferreira,1,1,45,0,0,0,0,0,0,0,0,16.0,19.0,84.2,1.0,0,0.0,0,0.0,24.0,0.0,1.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,FW,21,USA,FC Dallas,United States
306,Brenden Aaronson,4,0,108,0,0,1,0,0,0,0,0,41.0,50.0,82.0,3.0,2,5.0,1,0.0,80.0,2.0,11.0,18.2,3,3,0,3,0.0,0.0,0,0.0,1.0,MF,21,England,Leeds United,United States
307,Gio Reyna,2,0,53,0,0,2,0,0,0,0,0,26.0,38.0,68.4,0.0,0,1.0,0,0.0,42.0,0.0,0.0,0.0,0,2,0,2,0.0,0.0,0,2.0,0.0,FW,19,Germany,Dortmund,United States
308,Kellyn Acosta,2,0,43,0,0,0,0,0,0,1,0,10.0,12.0,83.3,3.0,2,0.0,0,0.0,16.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1.0,0.0,MF,26,USA,Los Angeles FC,United States
309,DeAndre Yedlin,2,0,33,0,0,0,0,0,0,0,0,19.0,28.0,67.9,2.0,1,0.0,0,2.0,32.0,0.0,0.0,0.0,2,0,0,4,0.0,0.0,0,1.0,0.0,DF,28,USA,Inter Miami,United States
310,Shaquell Moore,2,0,22,0,0,0,0,0,0,0,0,14.0,21.0,66.7,2.0,2,0.0,0,3.0,27.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,1.0,0.0,DF,25,USA,Nashville,United States
311,Jordan Morris,2,0,4,0,0,0,0,0,0,0,0,1.0,4.0,25.0,0.0,0,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0,0.0,1.0,FWDF,27,USA,Seattle,United States
312,Matty Cash,4,4,360,0,0,1,0,0,0,2,0,123.0,160.0,76.9,4.0,3,7.0,0,17.0,199.0,1.0,4.0,25.0,7,3,0,9,0.0,0.0,0,2.0,1.0,DF,24,England,Aston Villa,Poland
313,Kamil Glik,4,4,360,0,0,3,0,0,0,0,0,118.0,130.0,90.8,2.0,1,2.0,3,23.0,168.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,4.0,3.0,DF,34,Italy,Benevento,Poland
314,Robert Lewandowski,4,4,360,2,1,10,2,1,1,0,0,61.0,91.0,67.0,2.0,2,3.0,1,8.0,153.0,5.0,12.0,41.7,6,9,0,3,1.0,0.0,0,16.0,17.0,FW,33,Spain,Barcelona,Poland
315,Wojciech Szczesny,4,4,360,0,0,0,0,0,0,0,0,84.0,142.0,59.2,0.0,0,0.0,0,4.0,160.0,0.0,0.0,0.0,1,1,0,0,0.0,1.0,0,2.0,0.0,GK,32,Italy,Juventus,Poland
316,Jakub Kiwior,4,4,355,0,0,1,0,0,0,1,0,174.0,205.0,84.9,2.0,1,4.0,4,15.0,235.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,3.0,4.0,DF,22,Italy,Spezia,Poland
317,Bartosz Bereszyaski,4,4,341,0,0,0,0,0,0,1,0,122.0,156.0,78.2,6.0,2,4.0,2,17.0,200.0,1.0,7.0,14.3,5,3,0,4,0.0,0.0,0,4.0,2.0,DF,29,Italy,Sampdoria,Poland
318,Grzegorz Krychowiak,4,4,332,0,0,1,0,0,0,1,0,93.0,127.0,73.2,9.0,4,5.0,5,4.0,164.0,1.0,3.0,33.3,6,7,0,1,0.0,0.0,0,4.0,3.0,MF,32,Saudi Arabia,AlShabab,Poland
319,Piotr Zieliaski,4,4,328,1,0,3,2,1,0,0,0,124.0,153.0,81.0,7.0,5,1.0,1,7.0,179.0,1.0,4.0,25.0,4,2,0,16,0.0,0.0,0,0.0,2.0,MFFW,28,Italy,Napoli,Poland
320,Przemysaaw Frankowski,4,3,240,0,0,1,0,0,0,1,0,49.0,74.0,66.2,7.0,4,1.0,3,5.0,99.0,2.0,4.0,50.0,1,5,0,8,0.0,0.0,0,1.0,1.0,MF,27,France,Lens,Poland
321,Jakub Kamiaski,4,2,233,0,0,4,1,0,0,0,0,37.0,61.0,60.7,6.0,1,4.0,0,2.0,93.0,2.0,5.0,40.0,5,2,0,4,0.0,0.0,0,0.0,5.0,MF,20,Germany,Wolfsburg,Poland
322,Krystian Bielik,4,2,216,0,0,2,0,0,0,0,0,86.0,99.0,86.9,5.0,3,1.0,5,6.0,130.0,1.0,3.0,33.3,5,4,0,0,0.0,1.0,0,6.0,4.0,MF,24,England,Derby County,Poland
323,Sebastian Szymaaski,2,2,134,0,0,0,0,0,0,0,0,26.0,41.0,63.4,6.0,3,4.0,2,1.0,61.0,1.0,3.0,33.3,1,3,0,3,0.0,0.0,0,1.0,5.0,MF,23,Netherlands,Feyenoord,Poland
324,Arkadiusz Milik,3,1,101,0,0,1,0,0,0,1,0,19.0,29.0,65.5,0.0,0,1.0,0,0.0,40.0,1.0,1.0,100.0,1,2,1,0,0.0,0.0,0,4.0,5.0,FWMF,28,Italy,Juventus,Poland
325,Nicola Zalewski,2,1,65,0,0,0,0,0,0,0,0,15.0,17.0,88.2,4.0,0,1.0,0,0.0,29.0,0.0,2.0,0.0,1,2,0,1,0.0,0.0,0,0.0,1.0,MF,20,Italy,Roma,Poland
326,Karol Aswiderski,1,1,45,0,0,0,0,0,0,0,0,7.0,7.0,100.0,4.0,1,0.0,2,0.0,15.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,1.0,1.0,FW,25,USA,Charlotte,Poland
327,Michaa Skaraa,1,0,45,0,0,1,0,0,0,0,0,8.0,9.0,88.9,0.0,0,1.0,1,0.0,12.0,0.0,1.0,0.0,1,2,0,0,0.0,0.0,0,1.0,0.0,MF,22,Poland,Lech Poznaa,Poland
328,Damian Szymaaski,1,0,29,0,0,0,0,0,0,0,0,8.0,8.0,100.0,0.0,0,0.0,1,0.0,9.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,26,Greece,AEK Athens,Poland
329,Krzysztof Piatek,2,0,28,0,0,1,0,0,0,0,0,2.0,6.0,33.3,0.0,0,0.0,0,0.0,9.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,2.0,6.0,FW,26,Italy,Salernitana,Poland
330,Artur Jadrzejczyk,1,0,19,0,0,0,0,0,0,0,0,3.0,4.0,75.0,0.0,0,0.0,0,1.0,5.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,34,Poland,Legia Warsaw,Poland
331,Jan Bednarek,1,0,5,0,0,0,0,0,0,0,0,6.0,6.0,100.0,0.0,0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,26,England,Aston Villa,Poland
332,Kamil Grosicki,1,0,4,0,0,0,0,0,0,0,0,4.0,6.0,66.7,0.0,0,0.0,0,0.0,6.0,1.0,1.0,100.0,0,0,0,3,0.0,0.0,0,0.0,0.0,MF,34,Poland,Pogoa Szczecin,Poland
333,Son Heungmin,4,4,360,0,1,9,3,0,0,0,0,77.0,115.0,67.0,5.0,2,2.0,2,0.0,165.0,3.0,15.0,20.0,1,6,2,21,0.0,0.0,0,0.0,2.0,FWMF,29,England,Tottenham,Korea Republic
334,Kim Moonhwan,4,4,360,0,0,0,0,0,0,0,0,201.0,242.0,83.1,9.0,4,3.0,4,16.0,293.0,2.0,4.0,50.0,1,0,0,15,0.0,0.0,0,6.0,3.0,DF,26,Korea Republic,Jeonbuk,Korea Republic
